TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  161,   247.74704973,643039.75996910,   210.26305375,   185.00001053,
  162,   216.37352487,643209.17696539,   210.26625997,   185.00001053,
  163,   127.18676243,643161.58544465,   210.26535930,   185.00001053,
  164,    82.59338122,642873.18966519,   210.25990139,   185.00001052,
  165,    60.29669061,642464.39175678,   210.25216487,   185.00001050,
  166,    49.14834530,641995.39278370,   210.24328904,   185.00001049,
  167,    43.57417265,641496.29327828,   210.23384355,   185.00001047,
  168,   114.28708633,641114.44350668,   210.22661702,   185.00001045,
  169,   149.64354316,641256.51860200,   210.22930580,     0.00001046,
  170,   148.32177158,641792.85613099,   210.23945602,     0.00001048,
  171,    79.16088579,642202.32487661,   210.24720524,     0.00001049,
  172,    44.58044290,642425.05923053,   210.25142050,     0.00001050,
  173,    27.29022145,642140.42638861,   210.24603381,   230.00001049,
  174,    18.64511072,641395.10994882,   210.23192865,   230.00001046,
  175,    50.82255536,640692.15171012,   210.21862513,   230.00001044,
  176,    66.91127768,640076.07257189,   210.20696579,   230.00001041,
  177,    74.95563884,639503.43298410,   210.19612856,   230.00001039,
  178,    78.97781942,638952.51317176,   210.18570237,   230.00001037,
  179,    80.98890971,638412.45324692,   210.17548170,   230.00001035,
  180,    81.99445486,637877.82326583,   210.16536380,   230.00001033,
  181,    45.99722743,637280.20825662,   210.15405390,   230.00001031,
  182,    27.99861371,636585.40073356,   210.14090463,   230.00001028,
  183,   128.99930686,636156.99695357,   210.13279707,   165.00001027,
  184,   174.49965343,636109.29504513,   210.13189430,   165.00001026,
  185,   243.24982671,636267.24407224,   210.13488350,   165.00001027,
  186,   277.62491336,636610.81856755,   210.14138567,   165.00001028,
  187,   221.31245668,636914.90579676,   210.14714053,   165.00001029,
  188,   266.65622834,637199.24939269,   210.15252175,   165.00001031,
  189,   289.32811417,637606.02117199,   210.16021993,   165.00001032,
  190,   300.66405708,638074.00704297,   210.16907659,   165.00001034,
  191,   232.83202854,638737.29995979,   210.18162945,     0.00001036,
  192,   194.41601427,639506.34639954,   210.19618369,     0.00001039,
  193,   170.70800714,640163.56960053,   210.20862168,     0.00001042,
  194,   158.85400357,640756.78118214,   210.21984824,     0.00001044,
  195,    84.42700178,641194.68695406,   210.22813564,     0.00001046,
  196,    47.21350089,641431.63982114,   210.23261998,     0.00001047,
  197,    28.60675045,641568.11623601,   210.23520281,     0.00001047,
  198,    19.30337522,641301.55442456,   210.23015811,   196.00001046,
  199,    14.65168761,640657.07349996,   210.21796127,   196.00001044,
  200,    31.82584381,640035.13301877,   210.20619101,   196.00001041,
  201,    40.41292190,639459.56275972,   210.19529831,   196.00001039,
  202,    25.20646095,638872.07761153,   210.18418012,   196.00001037,
  203,    17.60323048,638596.33501877,   210.17896168,     0.00001036,
  204,    13.80161524,638300.06370372,   210.17335473,   196.00001035,
  205,    34.40080762,638034.02802753,   210.16831999,     0.00001034,
  206,    22.20040381,638135.91017098,   210.17024811,     0.00001034,
  207,    16.10020190,637852.05122403,   210.16487606,   196.00001033,
  208,   179.55010095,637498.62173189,   210.15818739,   196.00001032,
  209,   261.27505048,637586.50696715,   210.15985062,   196.00001032,
  210,   449.13752524,638159.64956612,   210.17069738,   196.00001034,
  211,   249.06876262,638710.82084693,   210.18112833,   196.00001036,
  212,   222.53438131,638854.10646867,   210.18384002,   196.00001037,
  213,   282.76719065,639058.04926100,   210.18769965,   196.00001038,
  214,   459.88359533,639689.22063832,   210.19964460,   196.00001040,
  215,   327.94179766,640754.50630832,   210.21980519,     0.00001044,
