DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
01/24/18,00:00,   275.45000000,   257.39659891,
01/24/18,01:00,     1.02000000,   259.08017446,
01/24/18,02:00,    11.98000000,   129.54008723,
01/24/18,03:00,     2.77000000,    66.71029361,
01/24/18,04:00,     2.34000000,    33.35514681,
01/24/18,05:00,     4.23000000,    16.67757340,
01/24/18,06:00,     0.00000000,     8.33878670,
01/24/18,07:00,     1.90000000,     4.16939335,
01/24/18,08:00,     0.15000000,     2.08469668,
01/24/18,09:00,   271.95000000,     1.04234834,
01/24/18,10:00,     0.00000000,   129.19679917,
01/24/18,11:00,   267.14000000,    64.59839958,
01/24/18,12:00,   271.95000000,   158.62994979,
01/24/18,13:00,   268.15000000,   207.99059990,
01/24/18,14:00,   270.05000000,   230.81842495,
01/24/18,15:00,   273.27000000,   243.15858747,
01/24/18,16:00,   268.15000000,   250.89841874,
01/24/18,17:00,   273.41000000,   252.27233437,
01/24/18,18:00,   267.42000000,   255.52354218,
01/24/18,19:00,   295.76000000,   254.22902109,
01/24/18,20:00,   295.90000000,   267.39751055,
01/24/18,21:00,   284.22000000,   274.05000527,
01/24/18,22:00,   289.48000000,   271.68225264,
01/24/18,23:00,   282.32000000,   273.06262632,
01/25/18,00:00,   290.06000000,   270.26231316,
01/25/18,01:00,   294.44000000,   272.63540658,
01/25/18,02:00,   287.88000000,   275.95720329,
01/25/18,03:00,     0.00000000,   274.42010164,
01/25/18,04:00,     0.73000000,   137.21005082,
01/25/18,05:00,     1.02000000,    68.60502541,
01/25/18,06:00,     2.48000000,    34.30251271,
01/25/18,07:00,     0.00000000,    17.15125635,
01/25/18,08:00,   548.72000000,     8.57562818,
01/25/18,09:00,   523.31000000,   267.88881409,
01/25/18,10:00,   269.76000000,   385.15803204,
01/25/18,11:00,   268.45000000,   320.18701602,
01/25/18,12:00,   265.09000000,   287.06288301,
01/25/18,13:00,   274.00000000,   268.86281651,
01/25/18,14:00,   271.96000000,   264.10640825,
01/25/18,15:00,   277.06000000,   260.73370413,
01/25/18,16:00,   269.33000000,   261.53360206,
