DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
01/24/18,19:00,   238.73844384,824908.75697661,   213.70493484,   171.00001741,
01/24/18,20:00,   253.45581686,825182.70658303,   213.71011935,   169.00001742,
01/24/18,21:00,   258.31796033,825493.69931941,   213.71600491,   170.00001743,
01/24/18,22:00,   254.47993859,825802.93547454,   213.72185722,   171.00001744,
01/24/18,23:00,   255.21686869,826106.58966475,   213.72760389,   170.00001746,
01/25/18,00:00,   252.33810334,826409.98855157,   213.73334573,   169.00001747,
01/25/18,01:00,   255.60036282,826717.67772785,   213.73916877,   168.00001748,
01/25/18,02:00,   258.65330878,827340.93427372,   213.75096393,     0.00001750,
01/25/18,03:00,   236.78628799,828232.72548504,   213.76784113,     0.00001754,
01/25/18,04:00,    91.07164923,828822.86970873,   213.77900965,     0.00001756,
01/25/18,05:00,    35.02755740,829049.84821725,   213.78330523,     0.00001757,
01/25/18,06:00,    13.47213746,829137.14760485,   213.78495737,     0.00001757,
01/25/18,07:00,     5.18159133,829170.72425347,   213.78559281,     0.00001757,
01/25/18,08:00,    41.07048897,828618.57793475,   213.77514341,   353.00001755,
01/25/18,09:00,   326.52091884,828009.44240566,   213.76361549,   353.00001753,
01/25/18,10:00,   404.11897648,828320.19415393,   213.76949648,   205.00001754,
01/25/18,11:00,   301.43552172,828508.39218760,   213.77305814,   396.00001755,
01/25/18,12:00,   261.00695451,828509.18858180,   213.77307321,   166.00001755,
01/25/18,13:00,   244.36737481,828814.06231151,   213.77884297,   170.00001756,
01/25/18,14:00,   242.46908262,829042.36787148,   213.78316366,   190.00001757,
01/25/18,15:00,   241.05400101,828785.90935860,   213.77831017,   436.00001756,
01/25/18,16:00,   242.59673116,828227.28061319,   213.76773809,   358.00001754,
01/25/18,17:00,   239.15190429,828142.22809406,   213.76612847,   171.00001753,
01/25/18,18:00,   236.88457857,828381.69370003,   213.77066037,   172.00001754,
01/25/18,19:00,   228.82035330,828602.56251407,   213.77484032,   171.00001755,
01/25/18,20:00,   221.34925127,828795.46773916,   213.77849106,   172.00001756,
01/25/18,21:00,   219.26070433,828902.76559606,   213.78052168,   209.00001756,
01/25/18,22:00,   221.01075551,829011.25416065,   213.78257483,   171.00001757,
01/25/18,23:00,   220.04902904,829187.76170950,   213.78591525,   172.00001757,
01/26/18,00:00,   221.13338809,829360.88999726,   213.78919171,   173.00001758,
01/26/18,01:00,   218.42257234,829527.49066292,   213.79234464,   174.00001758,
