DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
01/23/18,22:00,   269.03000000,   240.32275940,
01/23/18,23:00,   272.68000000,   238.37131515,
01/24/18,00:00,   275.45000000,   239.73386737,
01/24/18,01:00,     1.02000000,   223.01729514,
01/24/18,02:00,    11.98000000,    85.77588275,
01/24/18,03:00,     2.77000000,    32.99072413,
01/24/18,04:00,     2.34000000,    12.68874005,
01/24/18,05:00,     4.23000000,     4.88028464,
01/24/18,06:00,     0.00000000,     1.87703255,
01/24/18,07:00,     1.90000000,     0.72193560,
01/24/18,08:00,     0.15000000,     0.27766754,
01/24/18,09:00,   271.95000000,    18.53306444,
01/24/18,10:00,     0.00000000,   136.11198632,
01/24/18,11:00,   267.14000000,    70.41813320,
01/24/18,12:00,   271.95000000,   171.98175123,
01/24/18,13:00,   268.15000000,   213.27344278,
01/24/18,14:00,   270.05000000,   227.31186261,
01/24/18,15:00,   273.27000000,   233.94390100,
01/24/18,16:00,   268.15000000,   237.79448500,
01/24/18,17:00,   273.41000000,   236.99374039,
01/24/18,18:00,   267.42000000,   238.98615399,
01/24/18,19:00,   295.76000000,   238.73844384,
01/24/18,20:00,   295.90000000,   253.45581686,
01/24/18,21:00,   284.22000000,   258.31796033,
01/24/18,22:00,   289.48000000,   254.47993859,
01/24/18,23:00,   282.32000000,   255.21686869,
01/25/18,00:00,   290.06000000,   252.33810334,
01/25/18,01:00,   294.44000000,   255.60036282,
01/25/18,02:00,   287.88000000,   258.65330878,
01/25/18,03:00,     0.00000000,   236.78628799,
01/25/18,04:00,     0.73000000,    91.07164923,
01/25/18,05:00,     1.02000000,    35.02755740,
01/25/18,06:00,     2.48000000,    13.47213746,
01/25/18,07:00,     0.00000000,     5.18159133,
01/25/18,08:00,   548.72000000,    41.07048897,
01/25/18,09:00,   523.31000000,   326.52091884,
01/25/18,10:00,   269.76000000,   404.11897648,
01/25/18,11:00,   268.45000000,   301.43552172,
01/25/18,12:00,   265.09000000,   261.00695451,
01/25/18,13:00,   274.00000000,   244.36737481,
01/25/18,14:00,   271.96000000,   242.46908262,
01/25/18,15:00,   277.06000000,   241.05400101,
01/25/18,16:00,   269.33000000,   242.59673116,
01/25/18,17:00,   269.32000000,   239.15190429,
01/25/18,18:00,   256.76000000,   236.88457857,
01/25/18,19:00,   248.29000000,   228.82035330,
01/25/18,20:00,   249.02000000,   221.34925127,
01/25/18,21:00,   254.43000000,   219.26070433,
01/25/18,22:00,   250.78000000,   221.01075551,
01/25/18,23:00,   254.42000000,   220.04902904,
01/26/18,00:00,   248.43000000,   221.13338809,
01/26/18,01:00,   248.44000000,   218.42257234,
01/26/18,02:00,   257.20000000,   218.03880475,
01/26/18,03:00,   258.37000000,   222.55391721,
01/26/18,04:00,   248.14000000,   224.13828354,
01/26/18,05:00,   249.61000000,   219.51413213,
01/26/18,06:00,   252.52000000,   218.72053544,
01/26/18,07:00,   257.50000000,   220.30680594,
01/26/18,08:00,   252.82000000,   223.16880228,
01/26/18,09:00,   200.38000000,   217.91233934,
01/26/18,10:00,   205.79000000,   188.90447667,
01/26/18,11:00,   197.46000000,   179.95174487,
01/26/18,12:00,   207.54000000,   172.90968649,
01/26/18,13:00,   203.74000000,   175.18252557,
01/26/18,14:00,   208.12000000,   174.39874060,
01/26/18,15:00,   271.51000000,   181.11486177,
01/26/18,16:00,   270.20000000,   216.70932376,
01/26/18,17:00,   262.75000000,   229.15939375,
01/26/18,18:00,   270.78000000,   230.65585144,
01/26/18,19:00,   266.99000000,   235.14275056,
01/26/18,20:00,   278.09000000,   235.71716560,
01/26/18,21:00,   270.34000000,   241.15744061,
01/26/18,22:00,   269.47000000,   239.13705408,
01/26/18,23:00,   272.83000000,   238.15628234,
01/27/18,00:00,   274.87000000,   239.68623167,
