TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
   69,    98.85586253,629389.85470987,   210.00472851,   165.00001001,
   70,   198.00233955,629330.19943739,   210.00359954,   165.00001001,
   71,   247.57533318,629835.23921224,   210.01315744,     0.00001003,
   72,   190.68635175,630624.11020900,   210.02808687,     0.00001006,
   73,   162.24098149,631259.37937256,   210.04010937,     0.00001008,
   74,   148.01695007,631817.84361316,   210.05067834,     0.00001010,
   75,    74.07791173,632217.61432782,   210.05824403,     0.00001012,
   76,    37.10555804,632417.74453694,   210.06203150,     0.00001012,
   77,    18.61603607,632518.04336983,   210.06392966,     0.00001013,
   78,     9.36779655,632568.41423203,   210.06488293,     0.00001013,
   79,     4.74026697,632260.80870978,   210.05906148,   185.00001012,
   80,    58.35826108,631708.38602396,   210.04860685,   185.00001010,
   81,    32.69434702,631206.28068234,   210.03910448,   185.00001008,
   82,    19.85983448,630634.87817269,   210.02829065,   185.00001006,
   83,    22.84538802,630378.74753691,   210.02344337,     0.00001005,
   84,    41.66146658,630494.85983902,   210.02564080,     0.00001005,
   85,    51.56326372,630329.66431743,   210.02251446,   185.00001005,
   86,    38.69313266,629826.12579471,   210.01298497,   185.00001003,
   87,    32.25720298,629287.83636291,   210.00279781,   185.00001001,
   88,   247.33353028,629125.09964678,   209.99963944,   185.00001000,
   89,   354.87107237,629543.06789563,   210.00762808,   185.00001002,
   90,   481.40434516,630382.36361120,   210.02351180,   185.00001005,
   91,   471.90557705,631432.32143514,   210.04338231,   185.00001009,
   92,   539.92085657,632587.60897925,   210.06524620,   185.00001013,
   93,   501.16322043,633795.56028122,   210.08810674,   185.00001018,
   94,   481.78416805,634898.86554388,   210.10898686,   185.00001022,
   95,   472.09445635,635949.84703096,   210.12887674,   185.00001026,
   96,   394.48417217,636843.68852543,   210.14579274,   185.00001029,
   97,   355.67819139,637860.98074287,   210.16504506,     0.00001033,
   98,   317.46388860,639072.63644966,   210.18797571,     0.00001038,
   99,   225.58974325,640050.13294953,   210.20647489,     0.00001041,
  100,   179.64985893,640779.56419596,   210.22027941,     0.00001044,
  101,   120.54159132,641319.90876883,   210.23050546,     0.00001046,
  102,    90.48899477,641402.76378631,   210.23207350,   165.00001046,
  103,    48.23429956,641058.46567863,   210.22555764,   165.00001045,
  104,    27.10372182,640564.07407960,   210.21620125,   185.00001043,
  105,    13.56553072,639971.27869657,   210.20498256,   185.00001041,
  106,    19.66388808,639365.09161300,   210.19351044,   185.00001039,
  107,   168.24088352,639037.32016448,   210.18730735,   185.00001037,
  108,   169.76268854,638979.72655672,   210.18621738,   185.00001037,
  109,   243.28735296,639057.21659397,   210.18768389,   185.00001038,
  110,   134.51865851,639071.26737722,   210.18794980,   185.00001038,
  111,    80.13344896,638791.64113335,   210.18265786,   185.00001037,
  112,    44.03013692,638349.13555063,   210.17428341,   185.00001035,
  113,    24.98785874,637807.36790553,   210.16403043,   185.00001033,
  114,    15.46622078,637214.18521153,   210.15280441,   185.00001031,
  115,    93.36999730,636744.09036680,   210.14390784,   185.00001029,
  116,   132.32154914,636484.33511349,   210.13899196,   185.00001028,
  117,   224.56204915,636460.72555357,   210.13854515,   185.00001028,
  118,   270.68206486,636686.16492173,   210.14281160,   185.00001029,
  119,   293.74188719,637369.12799817,   210.15573671,     0.00001031,
  120,   305.27164235,638447.35231403,   210.17614217,     0.00001035,
  121,   152.63639228,639271.58673890,   210.19174085,     0.00001038,
  122,    76.31866134,639683.70579799,   210.19954023,     0.00001040,
  123,    38.15970624,639889.76682227,   210.20343995,     0.00001041,
  124,    19.08015720,639992.79853905,   210.20538983,     0.00001041,
  125,     9.54032123,640044.31536282,   210.20636479,     0.00001041,
  126,     4.77035388,639737.07454071,   210.20055024,   185.00001040,
  127,    15.25532993,639107.12073416,   210.18862833,   185.00001038,
  128,     7.62778372,638482.31030134,   210.17680375,   185.00001035,
  129,    16.68398282,637896.07144393,   210.16570915,   165.00001033,
  130,    84.07705609,637447.44127682,   210.15721880,   185.00001031,
  131,   200.43857097,637293.56936835,   210.15430676,   185.00001031,
  132,   258.61931120,637453.87351917,   210.15734053,   185.00001031,
  133,   142.17966865,637428.31164583,   210.15685677,   230.00001031,
  134,   114.64983811,637062.60472087,   210.14993574,   230.00001030,
  135,   115.73491716,636649.29724320,   210.14211388,   230.00001028,
  136,   165.77745480,636328.01947591,   210.13603368,   230.00001027,
  137,   190.79872551,636141.85656340,   210.13251053,   230.00001027,
  138,   203.30936275,636023.25108535,   210.13026592,   230.00001026,
