TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  153,    11.24473149,638564.07282524,   210.17835111,   185.00001036,
  154,   138.62236575,638167.83356318,   210.17085226,   185.00001034,
  155,   158.81118287,637956.21391349,   210.16684735,   230.00001033,
  156,   249.90559144,637944.90407019,   210.16663331,   185.00001033,
  157,   300.95279572,638270.44912987,   210.17279427,   185.00001035,
  158,   239.97639786,638578.12164125,   210.17861699,   185.00001036,
  159,   282.98819893,638853.45787806,   210.18382774,   185.00001037,
  160,   304.49409946,639244.92597780,   210.19123630,   185.00001038,
  161,   241.74704973,639562.16000900,   210.19723997,   185.00001039,
  162,   210.37352487,639709.97700572,   210.20003741,   185.00001040,
  163,   121.18676243,639640.78548541,   210.19872796,   185.00001040,
  164,    76.59338122,639330.78970637,   210.19286127,   185.00001039,
  165,    54.29669061,638900.39179840,   210.18471597,   185.00001037,
  166,    43.14834530,638409.79282575,   210.17543136,   185.00001035,
  167,    37.57417265,637889.09332075,   210.16557709,   185.00001033,
  168,   108.28708633,637485.64354958,   210.15794178,   185.00001032,
  169,   143.64354316,637606.11864533,   210.16022178,     0.00001032,
  170,   142.32177158,638120.85617475,   210.16996321,     0.00001034,
  171,    73.16088579,638508.72492080,   210.17730365,     0.00001035,
  172,    38.58044290,638709.85927515,   210.18111013,     0.00001036,
  173,    21.29022145,638403.62643366,   210.17531466,   230.00001035,
  174,    12.64511072,637636.70999446,   210.16080072,   230.00001032,
  175,    44.82255536,636912.15175619,   210.14708841,   230.00001029,
  176,    60.91127768,636274.47261882,   210.13502030,   230.00001027,
  177,    68.95563884,635680.23303146,   210.12377428,   230.00001025,
  178,    72.97781942,635107.71321955,   210.11293931,   230.00001023,
  179,    74.98890971,634546.05329513,   210.10230987,   230.00001020,
  180,    75.99445486,633989.82331448,   210.09178318,   230.00001018,
  181,    39.99722743,633370.60830612,   210.08006450,   230.00001016,
  182,    21.99861371,632654.20078349,   210.06650645,   230.00001013,
  183,   122.99930686,632204.19700394,   210.05799010,   165.00001012,
  184,   168.49965343,632134.89509592,   210.05667856,   165.00001011,
  185,   237.24982671,632271.24412389,   210.05925897,   165.00001012,
  186,   271.62491336,632593.21861963,   210.06535236,   165.00001013,
  187,   215.31245668,632875.70584927,   210.07069845,   165.00001014,
  188,   260.65622834,633138.44944563,   210.07567088,   165.00001015,
  189,   283.32811417,633523.62122579,   210.08296028,   165.00001017,
  190,   294.66405708,633970.00709763,   210.09140816,   165.00001018,
  191,   226.83202854,634611.70001492,   210.10355223,     0.00001021,
  192,   188.41601427,635359.14645509,   210.11769770,     0.00001024,
  193,   164.70800714,635994.76965694,   210.12972690,     0.00001026,
  194,   152.85400357,636566.38123941,   210.14054469,     0.00001028,
  195,    78.42700178,636982.68701219,   210.14842330,     0.00001030,
