TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  199,    18.28892087,653174.91973115,   210.45486222,   165.00001091,
  200,    16.88671043,652644.23582841,   210.44481900,   165.00001089,
  201,     8.94335522,652096.72990724,   210.43445742,   165.00001087,
  202,    12.21392761,651540.81297728,   210.42393666,   165.00001085,
  203,    13.84921380,651290.72659265,   210.41920376,     0.00001084,
  204,    79.10235690,651458.03938095,   210.42237016,     0.00001084,
  205,   111.72892845,651504.53565575,   210.42325011,   165.00001085,
  206,   137.03321423,651358.30747348,   210.42048273,   165.00001084,
  207,    76.25885711,651148.23316285,   210.41650706,   165.00001083,
  208,   119.29817856,650906.23578803,   210.41192725,   165.00001082,
  209,   214.24433928,650912.61228119,   210.41204792,   165.00001082,
  210,   261.71741964,651472.34340807,   210.42264087,     0.00001085,
  211,   349.88945982,652159.23575207,   210.43564034,   230.00001087,
  212,   435.43397991,652861.81790430,   210.44893675,   165.00001090,
  213,   372.31223995,653604.76106075,   210.46299699,   230.00001093,
  214,   299.79236998,654103.54931921,   210.47243659,   165.00001094,
  215,   304.49143499,654597.26012853,   210.48178009,   165.00001096,
  216,   306.84096749,655400.65841349,   210.49698445,     0.00001099,
  217,   225.59823375,656359.04893602,   210.51512205,     0.00001103,
  218,   184.97686687,657098.08407730,   210.52910833,     0.00001106,
  219,   164.66618344,657727.44152817,   210.54101895,     0.00001108,
  220,    82.83309172,658172.94018363,   210.54945004,     0.00001110,
  221,    41.91654586,658397.48949140,   210.55369965,     0.00001111,
  222,    93.13602293,658640.58407511,   210.55830023,     0.00001112,
  223,    47.06801146,658595.95129699,   210.55745555,   165.00001111,
  224,    31.27625573,658142.97093791,   210.54888287,   165.00001110,
  225,    23.38037787,657647.35283851,   210.53950327,   165.00001108,
  226,    19.43243893,657130.41586894,   210.52972021,   165.00001106,
  227,   164.31146947,656867.15486416,   210.52473798,   165.00001105,
  228,   310.17748473,657424.23494200,   210.53528075,     0.00001107,
  229,   300.69299237,658523.80176104,   210.55609012,     0.00001111,
  230,   295.95074618,658787.76045045,   210.56108555,   450.00001112,
  231,   224.64862309,657672.83927525,   210.53998560,   690.00001108,
  232,   162.02456155,656181.85096768,   210.51176856,   525.00001102,
  233,   268.57453077,655066.92929424,   210.49066861,   525.00001098,
  234,   321.84951539,654833.69253763,   210.48625459,   195.00001097,
  235,   257.07850769,655173.76293973,   210.49269044,   195.00001099,
  236,   224.69300385,655338.95162104,   210.49581665,   195.00001099,
  237,   208.50025192,655416.69944176,   210.49728803,   195.00001099,
  238,   200.40387596,655450.72683238,   210.49793200,   195.00001100,
  239,   343.20868798,655736.22940782,   210.50333515,   190.00001101,
  240,   338.68709399,656279.64177587,   210.51361926,   190.00001103,
  241,   336.42629700,656810.84584005,   210.52367233,   190.00001105,
  242,   335.29589850,657677.94575227,   210.54008224,     0.00001108,
  243,   261.30419925,658751.82588814,   210.56040549,     0.00001112,
  244,   131.15209962,659458.24718612,   210.57377455,     0.00001115,
  245,    66.07604981,659813.25781515,   210.58049315,     0.00001116,
  246,    33.53802491,659992.56310928,   210.58388651,     0.00001117,
  247,    17.26901245,660084.01573618,   210.58561725,     0.00001117,
  248,     9.13450623,659834.54202946,   210.58089595,   165.00001116,
  249,    12.30950311,659279.14120629,   210.57038496,   165.00001114,
