TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  157,   297.95279572,636594.78948524,   210.14108231,   185.00001028,
  158,   236.97639786,636891.66199663,   210.14670064,   185.00001029,
  159,   279.98819893,637156.19823387,   210.15170701,   185.00001030,
  160,   301.49409946,637536.86633403,   210.15891117,   185.00001032,
  161,   238.74704973,637843.30036523,   210.16471045,   185.00001033,
  162,   207.37352487,637980.31736238,   210.16730351,   185.00001033,
  163,   118.18676243,637900.32584250,   210.16578966,   185.00001033,
  164,    73.59338122,637579.53006389,   210.15971859,   185.00001032,
  165,    51.29669061,637138.33215592,   210.15136889,   185.00001030,
  166,    40.14834530,636636.93318360,   210.14187989,   185.00001028,
  167,    34.57417265,636105.43367903,   210.13182123,   185.00001026,
  168,   105.28708633,635691.18390829,   210.12398153,   185.00001025,
  169,   140.64354316,635800.85900447,   210.12605713,     0.00001025,
  170,   139.32177158,636304.79653389,   210.13559418,     0.00001027,
  171,    70.16088579,636681.86528036,   210.14273023,     0.00001029,
  172,    35.58044290,636872.19963515,   210.14633232,     0.00001029,
  173,    18.29022145,636555.16679408,   210.14033245,   230.00001028,
  174,     9.64511072,635777.45035488,   210.12561412,   230.00001025,
  175,    41.82255536,635042.09211704,   210.11169743,   230.00001022,
  176,    57.91127768,634393.61297967,   210.09942492,   230.00001020,
  177,    65.95563884,633788.57339275,   210.08797452,   230.00001018,
  178,    69.97781942,633205.25358083,   210.07693515,   230.00001015,
  179,    71.98890971,632632.79365685,   210.06610132,   230.00001013,
  180,    72.99445486,632065.76367662,   210.05537024,   230.00001011,
  181,    36.99722743,631435.74866826,   210.04344717,   230.00001009,
  182,    18.99861371,630708.54114606,   210.02968473,   230.00001006,
  183,   119.99930686,630247.73736694,   210.02096399,   165.00001004,
  184,   165.49965343,630167.63545935,   210.01944806,   165.00001004,
  185,   234.24982671,630293.18448732,   210.02182408,   165.00001004,
  186,   268.62491336,630604.35898331,   210.02771308,   165.00001006,
  187,   212.31245668,630876.04621333,   210.03285477,   165.00001007,
  188,   257.65622834,631127.98981012,   210.03762282,   165.00001008,
  189,   280.32811417,631502.36159028,   210.04470783,   165.00001009,
  190,   291.66405708,631937.94746211,   210.05295131,   165.00001011,
  191,   223.83202854,632568.84037980,   210.06489100,     0.00001013,
  192,   185.41601427,633305.48682040,   210.07883207,     0.00001016,
  193,   161.70800714,633930.31002224,   210.09065689,     0.00001018,
  194,   149.85400357,634491.12160471,   210.10127028,     0.00001020,
  195,    75.42700178,634896.62737750,   210.10894450,     0.00001022,
  196,    38.21350089,635101.18024543,   210.11281567,     0.00001023,
  197,    19.60675045,635205.25666116,   210.11478533,     0.00001023,
